nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class
0.05,0.13,0.04,0.15,0,0,0,0,0,0,0.05,0.15,0,0,0,0,0.06,0.23,0.08,0.28,0.09,0.33,0.06,0.23,0.07,0.28,0,0,0,0,0,0,0,0,0,0,walk
0.07,0.12,0.06,0.15,0.06,0.15,0.07,0.2,0.08,0.23,0.07,0.15,0,0,0,0,0.07,0.23,0.09,0.29,0.09,0.32,0.09,0.22,0.1,0.26,0.1,0.32,0.07,0.1,0.07,0.1,0.06,0.12,0,0,walk
0.09,0.12,0.08,0.15,0.07,0.15,0.09,0.19,0.1,0.22,0.09,0.13,0.1,0.17,0.1,0.2,0.09,0.23,0.1,0.28,0.1,0.33,0.1,0.22,0.12,0.28,0.13,0.31,0.09,0.1,0.09,0.1,0.07,0.12,0,0,walk
0.1,0.12,0.09,0.13,0.09,0.15,0.09,0.19,0.11,0.2,0.1,0.13,0.1,0.16,0.12,0.2,0.1,0.23,0.1,0.28,0.1,0.32,0.12,0.22,0.13,0.28,0.15,0.32,0.09,0.1,0,0,0.09,0.12,0,0,walk
0.1,0.1,0.09,0.15,0.09,0.15,0.09,0.19,0.11,0.2,0.1,0.13,0.1,0.16,0.12,0.2,0.1,0.23,0.1,0.28,0.1,0.32,0.12,0.22,0.13,0.28,0.15,0.32,0.09,0.1,0,0,0.09,0.12,0,0,walk
0.12,0.1,0.11,0.13,0.1,0.13,0.1,0.19,0.12,0.22,0.12,0.12,0.13,0.16,0.14,0.19,0.12,0.22,0.13,0.28,0.13,0.32,0.13,0.22,0.15,0.26,0.15,0.31,0.12,0.09,0.12,0.09,0.11,0.1,0,0,walk
0.13,0.1,0.13,0.13,0.12,0.13,0.12,0.17,0.13,0.2,0.14,0.12,0.15,0.15,0.17,0.17,0.14,0.22,0.15,0.26,0.15,0.31,0.15,0.2,0.16,0.26,0,0,0.13,0.09,0.13,0.09,0.12,0.1,0,0,walk
0.15,0.1,0.14,0.13,0.13,0.13,0.12,0.17,0.14,0.2,0.15,0.12,0.16,0.15,0.17,0.17,0.15,0.22,0.17,0.26,0.19,0.33,0.16,0.2,0.16,0.26,0.15,0.31,0.14,0.09,0.15,0.09,0.13,0.1,0,0,walk
0.17,0.09,0.16,0.12,0.15,0.12,0.15,0.17,0.16,0.19,0.17,0.12,0,0,0,0,0.17,0.2,0.18,0.28,0.19,0.33,0.18,0.2,0.19,0.28,0,0,0.17,0.07,0.17,0.07,0.15,0.09,0,0,walk
0.18,0.09,0.17,0.12,0.16,0.12,0.16,0.16,0.18,0.2,0.17,0.1,0,0,0,0,0.18,0.2,0.18,0.28,0.19,0.33,0.19,0.19,0.2,0.25,0,0,0.17,0.07,0.17,0.07,0.17,0.09,0,0,walk
0.18,0.09,0.17,0.12,0.16,0.12,0.16,0.17,0.18,0.2,0.17,0.1,0,0,0,0,0.18,0.2,0.18,0.28,0.19,0.33,0.19,0.19,0.2,0.25,0.2,0.31,0.17,0.07,0.17,0.07,0.17,0.09,0,0,walk
0.2,0.09,0.19,0.12,0.18,0.12,0.18,0.16,0.2,0.2,0.2,0.1,0,0,0,0,0.2,0.2,0.22,0.25,0,0,0.21,0.2,0.23,0.25,0.24,0.29,0.2,0.07,0,0,0.18,0.07,0,0,walk
0.22,0.07,0.21,0.1,0.21,0.1,0.2,0.15,0.21,0.19,0.21,0.09,0,0,0,0,0.21,0.2,0.23,0.25,0.24,0.29,0.23,0.19,0.24,0.23,0.24,0.29,0.22,0.06,0,0,0.21,0.07,0,0,walk
0.22,0.07,0.21,0.1,0.21,0.1,0.2,0.16,0.21,0.19,0.21,0.09,0,0,0,0,0.21,0.2,0.23,0.25,0.24,0.29,0.23,0.19,0.24,0.23,0.24,0.29,0.22,0.06,0,0,0.21,0.07,0,0,walk
0.26,0.06,0.25,0.09,0.24,0.09,0.24,0.15,0.25,0.19,0.26,0.09,0.27,0.12,0.28,0.13,0.26,0.19,0.28,0.25,0.29,0.29,0.27,0.19,0.27,0.23,0,0,0.26,0.06,0,0,0.25,0.06,0,0,walk
0.27,0.06,0.26,0.09,0,0,0,0,0,0,0.26,0.09,0.27,0.12,0.29,0.13,0.27,0.17,0.28,0.23,0.29,0.29,0.28,0.17,0.29,0.23,0.29,0.29,0,0,0,0,0,0,0,0,walk
0.29,0.04,0.27,0.07,0.27,0.09,0.28,0.13,0.29,0.17,0.28,0.07,0,0,0,0,0.28,0.17,0.29,0.22,0.29,0.29,0.29,0.17,0.31,0.2,0.31,0.28,0.28,0.04,0,0,0.27,0.04,0,0,walk
0.31,0.04,0.29,0.07,0.29,0.07,0.3,0.13,0.32,0.16,0.3,0.07,0.31,0.12,0,0,0.3,0.17,0.3,0.23,0.29,0.29,0.31,0.17,0.33,0.22,0.35,0.25,0.3,0.04,0,0,0.29,0.04,0,0,walk
