nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class 231->bobei
0.53,0.35,0.48,0.37,0.47,0.37,0.48,0.53,0.52,0.59,0.49,0.39,0.48,0.51,0,0,0.44,0.55,0.53,0.63,0.52,0.76,0.45,0.55,0,0,0,0,0.53,0.33,0,0,0.5,0.33,0,0,fall_down
0.56,0.39,0.5,0.41,0.49,0.39,0.5,0.55,0.54,0.59,0.52,0.41,0.5,0.53,0,0,0.47,0.55,0.56,0.63,0.52,0.76,0.49,0.57,0.5,0.63,0.43,0.69,0.56,0.37,0,0,0.53,0.35,0,0,fall_down
0.57,0.41,0.52,0.41,0.5,0.41,0.52,0.57,0.56,0.61,0.53,0.43,0,0,0,0,0.48,0.57,0.56,0.63,0.52,0.76,0.5,0.57,0,0,0,0,0.57,0.39,0,0,0.54,0.37,0,0,fall_down
0.59,0.43,0.53,0.43,0.53,0.43,0.54,0.59,0.58,0.63,0.56,0.45,0,0,0,0,0.49,0.59,0.56,0.67,0.52,0.76,0.5,0.61,0,0,0,0,0.59,0.41,0,0,0.57,0.39,0,0,fall_down
0.59,0.45,0.54,0.45,0.53,0.45,0.56,0.61,0.58,0.65,0.56,0.47,0,0,0,0,0.5,0.63,0.57,0.67,0.52,0.76,0.52,0.63,0,0,0,0,0.59,0.43,0,0,0.58,0.41,0,0,fall_down
0.62,0.47,0.56,0.49,0.56,0.49,0.57,0.63,0.59,0.67,0.56,0.47,0,0,0,0,0.5,0.63,0.57,0.67,0.52,0.76,0.49,0.61,0,0,0,0,0.62,0.45,0,0,0.59,0.45,0,0,fall_down
0.62,0.49,0.56,0.49,0.56,0.49,0.57,0.63,0.61,0.69,0.57,0.49,0,0,0,0,0.5,0.63,0.57,0.67,0.52,0.76,0.5,0.63,0.57,0.65,0.52,0.74,0.62,0.47,0,0,0.59,0.45,0,0,fall_down
0.63,0.49,0.57,0.51,0.57,0.53,0.58,0.65,0.61,0.72,0.56,0.49,0,0,0,0,0.52,0.65,0.57,0.69,0,0,0.5,0.63,0,0,0,0,0.63,0.49,0,0,0.61,0.47,0,0,fall_down
0.63,0.51,0.57,0.51,0.58,0.55,0.59,0.65,0.62,0.72,0.56,0.49,0,0,0,0,0.53,0.67,0.61,0.76,0,0,0.5,0.63,0,0,0,0,0.63,0.49,0,0,0.62,0.49,0,0,fall_down
0.63,0.51,0.58,0.53,0.59,0.55,0.61,0.67,0.63,0.72,0.57,0.51,0,0,0,0,0.54,0.67,0,0,0,0,0.52,0.65,0,0,0,0,0.63,0.51,0,0,0.62,0.49,0,0,fall_down
